STATE,CITY,CLLI,RACK ID,BAY NAME,BAY,RACK,CHASSIS,USAGE,FULL RACK NAME,RACK STATUS,RACK CREATED,RACK MODIFIED,EQUIPMENT NAME,EQPT STATUS,EQPT-W,EQPT-H,EQPT-D,EQPT CREATED,EQPT MODIFIED,RACK-W,RACK-H,RACK-D,EQPT_ID,SOURCE SYSTEM
CO,Dummy Site,DUMMCOCF,21603449,DUMMCOCF.001.0002..R01.001,BAY,RACK,CHASSIS,,DUMMCOCF.001.0002..R01.001.FR,,,7/26/2023 5:11:08 PM,DUMMCOCF.TBDOSX.001.0002..R01.001.5,IN SERVICE,17,7,12,11/17/2012 1:23:46 PM,7/26/2023 5:11:08 PM,23,84,24,8282680,GRANITE
CO,Dummy Site,DUMMCOCF,,DUMMCOCF.001.0002.003.001.001,BAY,,,,,,,,,,,,,,,,,,,
CO,Dummy Site,DUMMCOCF,,DUMMCOCF.001.0002.003.001.002,BAY,,,,,,,,,,,,,,,,,,,
CO,Dummy Site,DUMMCOCF,446648767,DUMMCOCF.001.0002.003.001.003,BAY,RACK,,,DUMMCOCF.001.0002.003.001.003.FR,,,3/14/2024 2:45:15 PM,,,,,,,,23,84,15,,
CO,Dummy Site,DUMMCOCF,,DUMMCOCF.001.0002.003.002.001,BAY,,,,,,,,,,,,,,,,,,,
CO,Dummy Site,DUMMCOCF,,DUMMCOCF.001.0002.003.002.002,BAY,,,,,,,,,,,,,,,,,,,
CO,Dummy Site,DUMMCOCF,,DUMMCOCF.001.0002.003.002.003,BAY,,,,,,,,,,,,,,,,,,,
CO,Dummy Site,DUMMCOCF,22462006,DUMMCOCF.001.0002.004.402.001,BAY,RACK,,,DUMMCOCF.001.0002.004.402.001.FR,,,03-11-24 21:39,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,244224280,DUMMCOCF.001.0002.004.402.002,BAY,RACK,,,DUMMCOCF.001.0002.004.402.002.FR,,,03-11-24 21:39,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,393074091,DUMMCOCF.001.0002.004.402.003,BAY,RACK,,,DUMMCOCF.001.0002.004.402.003.FR,,,03-11-24 21:39,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535020,DUMMCOCF.001.0003.005.001.001,BAY,RACK,,,DUMMCOCF.001.0003.005.001.001.FR,,,3/20/2024 7:22:55 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535024,DUMMCOCF.001.0003.005.001.002,BAY,RACK,,,DUMMCOCF.001.0003.005.001.002.FR,,,3/20/2024 7:22:55 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535028,DUMMCOCF.001.0003.005.001.003,BAY,RACK,,,DUMMCOCF.001.0003.005.001.003.FR,,,3/20/2024 7:22:55 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535029,DUMMCOCF.001.0003.005.001.004,BAY,RACK,,,DUMMCOCF.001.0003.005.001.004.FR,,,3/20/2024 7:22:55 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535030,DUMMCOCF.001.0003.005.001.005,BAY,RACK,,,DUMMCOCF.001.0003.005.001.005.FR,,,3/20/2024 7:22:55 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535031,DUMMCOCF.001.0003.005.001.006,BAY,RACK,,,DUMMCOCF.001.0003.005.001.006.FR,,,3/20/2024 7:22:55 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535032,DUMMCOCF.001.0003.005.001.007,BAY,RACK,,,DUMMCOCF.001.0003.005.001.007.FR,,,3/20/2024 7:22:55 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535033,DUMMCOCF.001.0003.005.001.008,BAY,RACK,,,DUMMCOCF.001.0003.005.001.008.FR,,,3/20/2024 7:22:55 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535022,DUMMCOCF.001.0003.005.001.009,BAY,RACK,,,DUMMCOCF.001.0003.005.001.009.FR,,,3/20/2024 7:22:55 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535023,DUMMCOCF.001.0003.005.001.010,BAY,RACK,,,DUMMCOCF.001.0003.005.001.010.FR,,,3/20/2024 7:22:55 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535021,DUMMCOCF.001.0003.005.001.011,BAY,RACK,,,DUMMCOCF.001.0003.005.001.011.FR,,,3/20/2024 7:22:55 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535034,DUMMCOCF.001.0003.005.002.001,BAY,RACK,,,DUMMCOCF.001.0003.005.002.001.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535035,DUMMCOCF.001.0003.005.002.002,BAY,RACK,,,DUMMCOCF.001.0003.005.002.002.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535036,DUMMCOCF.001.0003.005.002.003,BAY,RACK,,,DUMMCOCF.001.0003.005.002.003.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535037,DUMMCOCF.001.0003.005.002.004,BAY,RACK,,,DUMMCOCF.001.0003.005.002.004.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535045,DUMMCOCF.001.0003.005.002.005,BAY,RACK,,,DUMMCOCF.001.0003.005.002.005.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535044,DUMMCOCF.001.0003.005.002.006,BAY,RACK,,,DUMMCOCF.001.0003.005.002.006.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535043,DUMMCOCF.001.0003.005.002.007,BAY,RACK,,,DUMMCOCF.001.0003.005.002.007.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535042,DUMMCOCF.001.0003.005.002.008,BAY,RACK,,,DUMMCOCF.001.0003.005.002.008.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535041,DUMMCOCF.001.0003.005.002.009,BAY,RACK,,,DUMMCOCF.001.0003.005.002.009.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535040,DUMMCOCF.001.0003.005.002.010,BAY,RACK,,,DUMMCOCF.001.0003.005.002.010.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535039,DUMMCOCF.001.0003.005.002.011,BAY,RACK,,,DUMMCOCF.001.0003.005.002.011.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,446535038,DUMMCOCF.001.0003.005.002.012,BAY,RACK,,,DUMMCOCF.001.0003.005.002.012.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,Dummy Site,DUMMCOCF,,DUMMCOCF.001.0004..002.001,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,Dummy Site,DUMMCOCF,,DUMMCOCF.001.0004..002.002,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,Dummy Site,DUMMCOCF,,DUMMCOCF.001.0004..002.003,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,Dummy Site,DUMMCOCF,,DUMMCOCF.001.BLG1..001.002,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,Dummy Site,DUMMCOCF,,DUMMCOCF.001.BLG1..001.003,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,Dummy Site,DUMMCOCF,,DUMMCOCF.001.BLG1..001.004,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,Dummy Site,DUMMCOCF,,DUMMCOCF.001.BLG1..001.005,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,Dummy Site,DUMMCOCF,,DUMMCOCF.001.BLG1..WMT.001,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,Dummy Site,DUMMCOCF,,DUMMCOCF.001.BLG3..R01.001,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,Dummy Site,DUMMCOCF,,DUMMCOCF.FLOOR.0402.01,BAY,,,,,,,,,,,,,,,,,,,
